rank_test_score,mean_test_score,std_test_score,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__class_weight
121,0.5870485183464984,0.011521096940990466,gini,,20,10,balanced
121,0.5870485183464984,0.011521096940990466,gini,,20,2,balanced
124,0.5852109165739642,0.02491999000885888,gini,5,10,20,
124,0.5852109165739642,0.02491999000885888,gini,5,10,10,
124,0.5852109165739642,0.02491999000885888,gini,5,10,2,
127,0.5836660128225365,0.009147732883546027,entropy,8,10,2,balanced
127,0.5836660128225365,0.009147732883546027,entropy,8,10,10,balanced
127,0.5836660128225365,0.009147732883546027,entropy,8,10,20,balanced
130,0.5835409931122622,0.031558641650250865,gini,5,20,20,
130,0.5835409931122622,0.031558641650250865,gini,5,20,10,
130,0.5835409931122622,0.031558641650250865,gini,5,20,2,
133,0.5827255719901886,0.014115426431844996,gini,8,5,20,balanced
134,0.5823440706615433,0.025714532323059338,gini,5,5,10,
134,0.5823440706615433,0.025714532323059338,gini,5,5,2,
134,0.5823440706615433,0.025714532323059338,gini,5,5,20,
137,0.5823332540481204,0.012140948820682972,entropy,8,5,2,balanced
137,0.5823332540481204,0.012140948820682972,entropy,8,5,10,balanced
139,0.5819563325088242,0.013596594581407915,entropy,8,5,20,balanced
140,0.5792530576097843,0.01029241888983548,gini,,10,2,balanced
140,0.5792530576097843,0.01029241888983548,gini,,10,10,balanced
140,0.5792530576097843,0.01029241888983548,gini,,10,20,balanced
143,0.5778450852828811,0.012843546913502426,gini,8,5,2,balanced
143,0.5778450852828811,0.012843546913502426,gini,8,5,10,balanced
145,0.5748896118160338,0.0327816892223854,gini,5,30,10,
145,0.5748896118160338,0.0327816892223854,gini,5,30,20,
145,0.5748896118160338,0.0327816892223854,gini,5,30,2,
148,0.5725850216387628,0.05302503396111744,entropy,5,20,20,
148,0.5725850216387628,0.05302503396111744,entropy,5,20,10,
148,0.5725850216387628,0.05302503396111744,entropy,5,20,2,
151,0.5712960373037826,0.021987975439561293,gini,6,20,2,
151,0.5712960373037826,0.021987975439561293,gini,6,20,10,
151,0.5712960373037826,0.021987975439561293,gini,6,20,20,
154,0.570149201544104,0.05571320175740154,entropy,5,10,20,
154,0.570149201544104,0.05571320175740154,entropy,5,10,10,
154,0.570149201544104,0.05571320175740154,entropy,5,10,2,
157,0.5700280940782531,0.010829863014737727,gini,,5,20,balanced
158,0.568861816794631,0.05510536971918417,entropy,5,5,10,
158,0.568861816794631,0.05510536971918417,entropy,5,5,20,
158,0.568861816794631,0.05510536971918417,entropy,5,5,2,
161,0.5663481783032263,0.010255302491627517,entropy,,10,2,balanced
161,0.5663481783032263,0.010255302491627517,entropy,,10,10,balanced
161,0.5663481783032263,0.010255302491627517,entropy,,10,20,balanced
164,0.5660509737205475,0.05039240186639395,entropy,5,30,2,
164,0.5660509737205475,0.05039240186639395,entropy,5,30,20,
164,0.5660509737205475,0.05039240186639395,entropy,5,30,10,
167,0.5641823254438758,0.02133198365068859,entropy,6,20,2,
167,0.5641823254438758,0.02133198365068859,entropy,6,20,20,
167,0.5641823254438758,0.02133198365068859,entropy,6,20,10,
170,0.5626593116630458,0.02239114937619582,entropy,8,30,20,
170,0.5626593116630458,0.02239114937619582,entropy,8,30,10,
170,0.5626593116630458,0.02239114937619582,entropy,8,30,2,
173,0.5625943742068588,0.03101531520070027,gini,6,30,2,
173,0.5625943742068588,0.03101531520070027,gini,6,30,20,
173,0.5625943742068588,0.03101531520070027,gini,6,30,10,
176,0.5621262162180087,0.017334398516290622,gini,8,20,20,
176,0.5621262162180087,0.017334398516290622,gini,8,20,10,
176,0.5621262162180087,0.017334398516290622,gini,8,20,2,
179,0.5611616736046084,0.025504243539772015,gini,8,30,10,
179,0.5611616736046084,0.025504243539772015,gini,8,30,2,
179,0.5611616736046084,0.025504243539772015,gini,8,30,20,
182,0.5605274217531329,0.023685653792300934,entropy,8,5,20,
183,0.55756348412833,0.012579600321476012,entropy,8,10,20,
183,0.55756348412833,0.012579600321476012,entropy,8,10,10,
183,0.55756348412833,0.012579600321476012,entropy,8,10,2,
186,0.5574031545220504,0.008503794908922892,entropy,,5,20,balanced
187,0.5564179962493462,0.02574490352857042,gini,,20,2,
187,0.5564179962493462,0.02574490352857042,gini,,20,20,
187,0.5564179962493462,0.02574490352857042,gini,,20,10,
190,0.5562418877888791,0.020686458357588814,entropy,8,20,10,
190,0.5562418877888791,0.020686458357588814,entropy,8,20,2,
190,0.5562418877888791,0.020686458357588814,entropy,8,20,20,
